provinsi,tahun,sektor,periode_upah,rata_rata_upah,periode_kemiskinan,gkm_makanan
JAWA TENGAH,2025,P Jasa Pendidikan,FEBRUARI,2507285.0,MARET,407576.0
JAWA TENGAH,2025,Q Jasa Kesehatan dan Kegiatan Sosial,FEBRUARI,2906691.0,MARET,407576.0
JAWA TENGAH,2025,"R,S,T,U Jasa Lainnya",FEBRUARI,1478362.0,MARET,407576.0
JAWA TENGAH,2025,Total,FEBRUARI,2441045.0,MARET,407576.0
DI YOGYAKARTA,2025,"A Pertanian, Kehutanan dan Perikanan",FEBRUARI,1629083.0,MARET,457221.0
DI YOGYAKARTA,2025,C Industri Pengolahan,FEBRUARI,2177093.0,MARET,457221.0
DI YOGYAKARTA,2025,D Pengadaan Listrik dan Gas,FEBRUARI,3630243.0,MARET,457221.0
DI YOGYAKARTA,2025,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",FEBRUARI,1724373.0,MARET,457221.0
DI YOGYAKARTA,2025,F Konstruksi,FEBRUARI,2493770.0,MARET,457221.0
DI YOGYAKARTA,2025,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",FEBRUARI,2333325.0,MARET,457221.0
DI YOGYAKARTA,2025,H Transportasi dan Pergudangan,FEBRUARI,4086705.0,MARET,457221.0
DI YOGYAKARTA,2025,I Penyediaan Akomodasi dan Makan Minum,FEBRUARI,1962483.0,MARET,457221.0
DI YOGYAKARTA,2025,J Informasi dan Komunikasi,FEBRUARI,3987805.0,MARET,457221.0
DI YOGYAKARTA,2025,K Jasa Keuangan dan Asuransi,FEBRUARI,3413811.0,MARET,457221.0
DI YOGYAKARTA,2025,"M,N Jasa Perusahaan",FEBRUARI,2677743.0,MARET,457221.0
DI YOGYAKARTA,2025,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",FEBRUARI,4756112.0,MARET,457221.0
DI YOGYAKARTA,2025,P Jasa Pendidikan,FEBRUARI,3328660.0,MARET,457221.0
DI YOGYAKARTA,2025,Q Jasa Kesehatan dan Kegiatan Sosial,FEBRUARI,6555351.0,MARET,457221.0
DI YOGYAKARTA,2025,"R,S,T,U Jasa Lainnya",FEBRUARI,1655014.0,MARET,457221.0
DI YOGYAKARTA,2025,Total,FEBRUARI,2914645.0,MARET,457221.0
JAWA TIMUR,2025,"A Pertanian, Kehutanan dan Perikanan",FEBRUARI,1649242.0,MARET,425719.0
JAWA TIMUR,2025,B Pertambangan dan Penggalian,FEBRUARI,3094140.0,MARET,425719.0
JAWA TIMUR,2025,C Industri Pengolahan,FEBRUARI,2813940.0,MARET,425719.0
